service_id,start_date,end_date,active_days_per_week,exception_count,service_stability_level,last_refresh
1084,2025-04-04,2025-12-13,7,54,Unstable,"2026-04-06 10:59:30"
1085,2025-04-04,2025-12-13,0,52,Unstable,"2026-04-06 10:59:30"
1086,2025-04-04,2025-12-13,7,60,Unstable,"2026-04-06 10:59:30"
1087,2025-04-04,2025-12-13,0,6,Limited,"2026-04-06 10:59:30"
1088,2025-04-04,2025-12-13,0,50,Unstable,"2026-04-06 10:59:30"
1089,2025-04-04,2025-12-13,0,12,Unstable,"2026-04-06 10:59:30"
109,2025-04-04,2025-12-13,6,35,Unstable,"2026-04-06 10:59:30"
1090,2025-04-04,2025-12-13,0,19,Unstable,"2026-04-06 10:59:30"
1091,2025-04-04,2025-12-13,0,16,Unstable,"2026-04-06 10:59:30"
1092,2025-04-04,2025-12-13,0,2,Limited,"2026-04-06 10:59:30"
1093,2025-04-04,2025-12-13,0,44,Unstable,"2026-04-06 10:59:30"
1094,2025-04-04,2025-12-13,0,27,Unstable,"2026-04-06 10:59:30"
1095,2025-04-04,2025-12-13,0,42,Unstable,"2026-04-06 10:59:30"
1096,2025-04-04,2025-12-13,0,29,Unstable,"2026-04-06 10:59:30"
1097,2025-04-04,2025-12-13,0,56,Unstable,"2026-04-06 10:59:30"
1098,2025-04-04,2025-12-13,0,22,Unstable,"2026-04-06 10:59:30"
1099,2025-04-04,2025-12-13,5,15,Limited,"2026-04-06 10:59:30"
11,2025-04-04,2025-12-13,0,2,Limited,"2026-04-06 10:59:30"
110,2025-04-04,2025-12-13,6,31,Unstable,"2026-04-06 10:59:30"
1100,2025-04-04,2025-12-13,0,1,Limited,"2026-04-06 10:59:30"
1101,2025-04-04,2025-12-13,0,6,Limited,"2026-04-06 10:59:30"
1102,2025-04-04,2025-12-13,0,2,Limited,"2026-04-06 10:59:30"
1103,2025-04-04,2025-12-13,0,114,Unstable,"2026-04-06 10:59:30"
1104,2025-04-04,2025-12-13,0,3,Limited,"2026-04-06 10:59:30"
1105,2025-04-04,2025-12-13,0,1,Limited,"2026-04-06 10:59:30"
1106,2025-04-04,2025-12-13,0,44,Unstable,"2026-04-06 10:59:30"
1107,2025-04-04,2025-12-13,0,2,Limited,"2026-04-06 10:59:30"
1108,2025-04-04,2025-12-13,0,4,Limited,"2026-04-06 10:59:30"
1109,2025-04-04,2025-12-13,0,100,Unstable,"2026-04-06 10:59:30"
111,2025-04-04,2025-12-13,1,5,Limited,"2026-04-06 10:59:30"
1110,2025-04-04,2025-12-13,0,8,Unstable,"2026-04-06 10:59:30"
1111,2025-04-04,2025-12-13,0,4,Limited,"2026-04-06 10:59:30"
1112,2025-04-04,2025-12-13,0,58,Unstable,"2026-04-06 10:59:30"
1113,2025-04-04,2025-12-13,0,34,Unstable,"2026-04-06 10:59:30"
1114,2025-04-04,2025-12-13,0,9,Unstable,"2026-04-06 10:59:30"
1115,2025-04-04,2025-12-13,0,3,Limited,"2026-04-06 10:59:30"
1116,2025-04-04,2025-12-13,0,1,Limited,"2026-04-06 10:59:30"
1117,2025-04-04,2025-12-13,0,3,Limited,"2026-04-06 10:59:30"
1118,2025-04-04,2025-12-13,0,6,Limited,"2026-04-06 10:59:30"
1119,2025-04-04,2025-12-13,0,42,Unstable,"2026-04-06 10:59:30"
112,2025-04-04,2025-12-13,0,6,Limited,"2026-04-06 10:59:30"
1120,2025-04-04,2025-12-13,0,32,Unstable,"2026-04-06 10:59:30"
1121,2025-04-04,2025-12-13,0,2,Limited,"2026-04-06 10:59:30"
1122,2025-04-04,2025-12-13,0,4,Limited,"2026-04-06 10:59:30"
1123,2025-04-04,2025-12-13,0,74,Unstable,"2026-04-06 10:59:30"
1124,2025-04-04,2025-12-13,0,43,Unstable,"2026-04-06 10:59:30"
1125,2025-04-04,2025-12-13,0,42,Unstable,"2026-04-06 10:59:30"
1126,2025-04-04,2025-12-13,0,58,Unstable,"2026-04-06 10:59:30"
1127,2025-04-04,2025-12-13,0,11,Unstable,"2026-04-06 10:59:30"
1128,2025-04-04,2025-12-13,0,43,Unstable,"2026-04-06 10:59:30"
1129,2025-04-04,2025-12-13,0,57,Unstable,"2026-04-06 10:59:30"
113,2025-04-04,2025-12-13,0,8,Unstable,"2026-04-06 10:59:30"
1130,2025-04-04,2025-12-13,6,6,Stable,"2026-04-06 10:59:30"
1131,2025-04-04,2025-12-13,1,6,Limited,"2026-04-06 10:59:30"
1132,2025-04-04,2025-12-13,0,103,Unstable,"2026-04-06 10:59:30"
1133,2025-04-04,2025-12-13,0,64,Unstable,"2026-04-06 10:59:30"
1134,2025-04-04,2025-12-13,0,109,Unstable,"2026-04-06 10:59:30"
1135,2025-04-04,2025-12-13,0,113,Unstable,"2026-04-06 10:59:30"
1136,2025-04-04,2025-12-13,0,60,Unstable,"2026-04-06 10:59:30"
1137,2025-04-04,2025-12-13,0,112,Unstable,"2026-04-06 10:59:30"
1138,2025-04-04,2025-12-13,0,56,Unstable,"2026-04-06 10:59:30"
1139,2025-04-04,2025-12-13,0,105,Unstable,"2026-04-06 10:59:30"
114,2025-04-04,2025-12-13,0,11,Unstable,"2026-04-06 10:59:30"
1140,2025-04-04,2025-12-13,0,53,Unstable,"2026-04-06 10:59:30"
1141,2025-04-04,2025-12-13,0,4,Limited,"2026-04-06 10:59:30"
1142,2025-04-04,2025-12-13,1,119,Unstable,"2026-04-06 10:59:30"
1143,2025-04-04,2025-12-13,1,118,Unstable,"2026-04-06 10:59:30"
1144,2025-04-04,2025-12-13,0,37,Unstable,"2026-04-06 10:59:30"
1145,2025-04-04,2025-12-13,0,34,Unstable,"2026-04-06 10:59:30"
1146,2025-04-04,2025-12-13,0,36,Unstable,"2026-04-06 10:59:30"
1147,2025-04-04,2025-12-13,0,1,Limited,"2026-04-06 10:59:30"
1148,2025-04-04,2025-12-13,4,121,Unstable,"2026-04-06 10:59:30"
1149,2025-04-04,2025-12-13,7,93,Unstable,"2026-04-06 10:59:30"
115,2025-04-04,2025-12-13,0,29,Unstable,"2026-04-06 10:59:30"
1150,2025-04-04,2025-12-13,0,1,Limited,"2026-04-06 10:59:30"
1151,2025-04-04,2025-12-13,0,49,Unstable,"2026-04-06 10:59:30"
1152,2025-04-04,2025-12-13,0,111,Unstable,"2026-04-06 10:59:30"
1153,2025-04-04,2025-12-13,0,62,Unstable,"2026-04-06 10:59:30"
