route_id,route_type,route_short_name,trip_count,unique_shape_count,route_intensity_level
1923_700,700,653,148,15,Critical
1925_700,700,655,149,12,Critical
1928_700,700,658,99,16,Critical
1929_700,700,659,132,20,Critical
1930_700,700,661,58,20,Critical
1934_700,700,665,25,13,Critical
1935_700,700,666,100,15,Critical
1938_700,700,671,128,16,Critical
1955_700,700,614,69,25,Critical
20930_700,700,641,119,12,Critical
21139_700,700,527e,21,16,High
22451_700,700,541,104,26,Critical
22453_700,700,543,76,19,Critical
22454_700,700,545,41,12,Critical
22624_700,700,540,51,15,Critical
22686_700,700,703,25,13,High
22687_700,700,704,41,26,Critical
22689_700,700,706,31,24,Critical
22690_700,700,707,38,17,Critical
22691_700,700,711,124,12,Critical
22692_700,700,712,58,16,Critical
22693_700,700,713,47,27,Critical
22694_700,700,714,55,29,Critical
22695_700,700,715,42,17,Critical
22696_700,700,717,75,20,Critical
22698_700,700,740,25,12,High
22700_700,700,742,32,20,Critical
22701_700,700,743,44,21,Critical
22702_700,700,744,107,50,Critical
22703_700,700,745,64,27,Critical
22704_700,700,746,47,34,Critical
22706_700,700,752,60,31,Critical
22707_700,700,754,30,16,Critical
22708_700,700,756,57,14,Critical
22710_700,700,759,31,23,Critical
22711_700,700,762,26,14,High
22714_700,700,770,131,30,Critical
22717_700,700,777,85,25,Critical
22721_700,700,785,68,20,Critical
22722_700,700,787,20,15,High
22724_700,700,791,41,17,Critical
22725_700,700,792,32,17,Critical
22726_700,700,794,81,12,Critical
22739_700,700,758,48,15,Critical
23154_700,700,X37,731,22,Critical
23184_700,700,RB26,323,15,Critical
23414_700,700,143,552,12,Critical
23415_700,700,M43,1254,24,Critical
23945_100,100,RE1,593,153,Critical
23946_100,100,RE8,174,49,Critical
24025_100,100,RE4,180,65,Critical
24045_100,100,RE2,229,95,Critical
24050_100,100,RB24,221,26,Critical
24051_2,2,FEX,333,35,Critical
24053_100,100,RE7,288,93,Critical
24109_700,700,RE1,269,16,Critical
24172_700,700,RE4,41,18,Critical
24415_100,100,RE8,194,32,Critical
24827_700,700,604,29,15,Critical
24828_700,700,605,17,15,High
24829_700,700,606,18,16,Medium
24830_700,700,607,29,22,High
24832_700,700,609,22,20,High
24834_700,700,611,20,13,Medium
24836_700,700,613,32,25,Medium
24839_700,700,616,50,20,Critical
24841_700,700,618,30,17,Critical
24844_700,700,621,24,19,High
24845_700,700,622,57,14,Critical
24846_700,700,623,26,20,High
24847_700,700,624,22,14,High
24849_700,700,626,38,23,Critical
26781_700,700,893,170,15,Critical
26783_106,106,RB12,228,14,Critical
26784_106,106,RB25,150,18,Critical
26785_106,106,RB26,218,37,Critical
26786_106,106,RB27,162,20,Critical
26788_106,106,RB36,132,15,Critical
26790_106,106,RB60,53,12,Critical
26978_700,700,800,107,20,Critical
26983_700,700,853,68,21,Critical
26984_700,700,854,56,13,Critical
26990_700,700,860,64,12,Critical
26993_700,700,868,59,19,Critical
26995_700,700,872,171,13,Critical
27001_700,700,881,57,20,Critical
27004_700,700,885,64,20,Critical
27005_700,700,886,89,13,Critical
27266_700,700,401,17,12,High
27268_700,700,403,25,15,High
27269_700,700,404,22,19,High
27270_700,700,405,21,14,Low
27280_700,700,418,98,15,Medium
27286_700,700,426,27,13,High
27289_700,700,429,56,17,High
27291_700,700,431,35,17,High
27293_700,700,433,30,23,High
27298_700,700,438,22,16,Low
27307_700,700,456,24,13,Low
27309_700,700,458,18,16,Low
27311_700,700,460,24,19,High
27312_700,700,461,18,14,Medium
327_700,700,B/522,184,14,Critical
330_700,700,E/525,119,29,High
331_700,700,F/526,46,24,Critical
335_700,700,W/540,67,12,High
3713_700,700,649,75,18,Critical
3975_700,700,660,103,23,Critical
4223_700,700,868,335,13,Critical
4224_700,700,873,61,26,Critical
4225_700,700,874,65,23,Critical
4226_700,700,875,31,17,Critical
4227_700,700,876,30,17,Critical
4229_700,700,878,49,33,Critical
4231_700,700,880,30,22,Critical
4232_700,700,881,25,12,Critical
4235_700,700,884,36,24,Critical
4236_700,700,885,44,25,Critical
4237_700,700,886,148,35,Critical
4238_700,700,887,58,21,Critical
4239_700,700,890,116,13,Critical
4240_700,700,891,103,20,Critical
4243_700,700,894,232,32,Critical
4244_700,700,895,128,39,High
4247_700,700,898,78,16,High
4248_700,700,899,29,12,Low
4249_700,700,900,195,13,Critical
4250_700,700,901,51,13,High
4251_700,700,902,36,22,High
4253_700,700,904,64,22,Critical
4254_700,700,905,39,34,Critical
4256_700,700,907,88,24,Critical
4257_700,700,908,168,60,Critical
4258_700,700,909,37,29,High
4259_700,700,910,210,36,Critical
4260_700,700,911,15,12,High
4261_700,700,912,27,12,Critical
4264_700,700,915,51,12,Critical
4265_700,700,916,57,18,Critical
4266_700,700,918,33,13,Critical
4268_700,700,920,87,38,Critical
4270_700,700,922,42,25,Critical
4477_700,700,663,95,17,Critical
4498_700,700,705,20,19,Low
4499_700,700,706,18,16,High
4505_700,700,713,27,16,High
4508_700,700,717,15,12,Low
4509_700,700,718,13,13,Low
4511_700,700,719,39,28,High
4514_700,700,750,29,14,Critical
4518_700,700,764,18,14,High
4519_700,700,765,24,21,Medium
4520_700,700,770,20,13,Critical
4521_700,700,772,36,18,High
5232_3,3,801,14,8,High
5232_700,700,801,40,23,Critical
5233_700,700,800,70,15,Critical
5234_3,3,802,8,5,High
5236_700,700,804,62,15,High
5237_700,700,805,70,15,Critical
5238_700,700,806,391,14,Critical
5243_3,3,812,38,6,Critical
5243_700,700,812,61,20,Critical
5244_3,3,813,24,6,Medium
5249_700,700,824,457,13,Critical
5250_3,3,830,17,4,High
5250_700,700,830,31,15,Critical
5252_3,3,833,13,4,Medium
5255_3,3,837,8,4,Low
5256_3,3,838,47,13,High
5256_700,700,838,24,15,Low
5257_3,3,839,19,6,High
5258_3,3,841,12,5,Medium
5259_3,3,842,9,4,High
5263_3,3,846,22,4,Medium
5264_3,3,847,9,4,High
5270_700,700,761,16,14,High
5332_700,700,466,78,26,Critical
5333_700,700,467,21,17,High
5335_700,700,468,40,29,High
5336_700,700,469,26,19,High
5337_700,700,470,25,14,High
5339_700,700,472,81,20,Critical
5340_700,700,473,62,51,High
5341_700,700,474,16,12,High
5342_700,700,475,26,13,High
5343_700,700,476,49,42,High
5344_700,700,477,63,15,Critical
5345_700,700,500,115,16,Critical
5346_700,700,502,24,18,High
5348_700,700,504,17,15,High
5350_700,700,506,69,38,Critical
5352_700,700,508,46,18,Critical
5353_700,700,509,78,35,Critical
5354_700,700,510,50,24,Critical
5355_700,700,512,46,12,High
5359_700,700,517,13,13,High
5364_700,700,723,43,22,Critical
5365_700,700,724,77,38,Critical
5366_700,700,725,60,23,Critical
5368_700,700,726,55,12,Critical
5369_700,700,727,76,20,Critical
5370_700,700,728,77,20,Critical
5371_700,700,729,64,29,Critical
5372_700,700,730,83,22,Critical
5376_700,700,733,73,18,Critical
5377_700,700,734,67,13,Critical
5381_700,700,738,108,21,Critical
5384_700,700,743,194,13,Critical
5635_900,900,96,683,15,Critical
6617_700,700,751,19,19,Low
6618_700,700,753,44,17,High
6620_700,700,754,48,26,High
6621_700,700,756,21,18,High
6625_700,700,768,31,26,High
6626_700,700,769,30,26,High
9696_700,700,711,122,15,High
9776_700,700,520,74,21,Critical
9777_700,700,521,25,22,High
9778_700,700,522,18,14,Low
9783_700,700,534,16,13,High
9784_700,700,536,24,13,High
9785_700,700,542,22,16,High
9787_700,700,546,31,19,High
9788_700,700,550,33,24,High
9790_700,700,552,21,14,High
9791_700,700,553,20,19,Critical
9792_700,700,558,28,15,High
9794_700,700,560,66,15,Critical
9796_700,700,565,13,12,Low
9797_700,700,570,31,20,High
9801_700,700,579,61,12,Critical
9802_700,700,581,25,21,Critical
9806_700,700,585,38,27,High
9810_700,700,595,27,14,High
9812_700,700,598,38,29,High
